total_tokens,esg_signal_count,g_signal_count,bp_count,esg_signal_ratio,g_signal_ratio,bp_contamination_rate,esg_g_relative,stock_code,fiscal_year,rcept_no,n_tokens,esg_tfidf_concentration
1622,2,50,0,0.0012,0.0308,0.0,1.0,001140,2023,20240321001955,1622,0.0292
1272,2,51,0,0.0016,0.0401,0.0,1.0,001140,2024,20250321001993,1272,0.0624
2203,2,110,0,0.0009,0.0499,0.0,1.0,001200,2022,20230315000887,2203,0.0518
2251,2,108,0,0.0009,0.048,0.0,1.0,001200,2023,20240318000590,2251,0.0476
2282,2,128,0,0.0009,0.0561,0.0,1.0,001200,2024,20250318000789,2282,0.0512
2195,7,28,0,0.0032,0.0128,0.0,1.0,001210,2022,20230321001127,2195,0.0084
2076,6,25,0,0.0029,0.012,0.0,1.0,001210,2023,20240320001009,2076,0.0029
2185,8,20,0,0.0037,0.0092,0.0,1.0,001210,2024,20250318000723,2185,0.0
4032,16,111,0,0.004,0.0275,0.0,1.0,001230,2022,20230316001310,4032,0.0323
5081,11,41,0,0.0022,0.0081,0.0,1.0,001230,2023,20240314001784,5081,0.0
4717,13,42,0,0.0028,0.0089,0.0,1.0,001230,2024,20250318001457,4717,0.0
3899,28,83,0,0.0072,0.0213,0.0,1.0,001250,2022,20230317000485,3899,0.0091
3926,31,82,0,0.0079,0.0209,0.0,1.0,001250,2023,20240318000522,3926,0.0085
3364,32,83,0,0.0095,0.0247,0.0,1.0,001250,2024,20250318001328,3364,0.0271
1519,4,42,0,0.0026,0.0276,0.0,1.0,001260,2022,20230320000480,1519,0.0392
1519,3,36,0,0.002,0.0237,0.0,1.0,001260,2023,20240320000911,1519,0.0342
1334,4,35,0,0.003,0.0262,0.0,1.0,001260,2024,20250318000968,1334,0.0356
4600,3,319,0,0.0007,0.0693,0.0,1.0,001270,2022,20230316000947,4600,0.0835
4684,2,307,0,0.0004,0.0655,0.0,1.0,001270,2023,20240314000951,4684,0.0803
4477,3,321,0,0.0007,0.0717,0.0,1.0,001270,2024,20250319000744,4477,0.0873
1290,0,52,0,0.0,0.0403,0.0,1.0,001290,2022,20230321001175,1290,0.0335
1372,1,62,0,0.0007,0.0452,0.0,1.0,001290,2023,20240321001495,1372,0.0486
1128,1,68,0,0.0009,0.0603,0.0,1.0,001290,2024,20250318001083,1128,0.0701
1301,10,40,0,0.0077,0.0307,0.0,1.0,001340,2022,20230315000818,1289,0.0697
1910,15,83,0,0.0079,0.0435,0.0,1.0,001340,2023,20240320001979,1900,0.0726
2126,16,71,0,0.0075,0.0334,0.0,1.0,001340,2024,20250318001326,2117,0.0481
2100,2,33,0,0.001,0.0157,0.0,1.0,001360,2022,20230320001021,2100,0.0103
2620,4,37,0,0.0015,0.0141,0.0,1.0,001360,2023,20240320002024,2620,0.0099
2650,4,36,0,0.0015,0.0136,0.0,1.0,001360,2024,20250319000845,2650,0.0094
2069,6,44,0,0.0029,0.0213,0.0,1.0,001380,2022,20230314000627,2069,0.0178
1944,5,41,0,0.0026,0.0211,0.0,1.0,001380,2023,20240319000089,1944,0.0166
2008,5,42,0,0.0025,0.0209,0.0,1.0,001380,2024,20250319000355,2008,0.0167
10216,59,35,0,0.0058,0.0034,0.0,1.0,001390,2022,20230321001469,10207,0.0
11788,62,48,0,0.0053,0.0041,0.0,1.0,001390,2023,20240321001911,11780,0.0
11373,113,53,0,0.0099,0.0047,0.0,1.0,001390,2024,20250320001653,11373,0.0
2259,4,118,0,0.0018,0.0522,0.0,1.0,001420,2022,20230316000393,2259,0.0691
2505,5,128,0,0.002,0.0511,0.0,1.0,001420,2023,20240320000726,2505,0.0652
2346,7,118,0,0.003,0.0503,0.0,1.0,001420,2024,20250320001049,2346,0.0642
3015,30,116,0,0.01,0.0385,0.0,1.0,001430,2022,20230321001452,3015,0.0602
3214,38,102,0,0.0118,0.0317,0.0,1.0,001430,2023,20240312000629,3214,0.0496
3235,36,102,0,0.0111,0.0315,0.0,1.0,001430,2024,20250318000465,3235,0.051
2201,4,81,0,0.0018,0.0368,0.0,1.0,001440,2022,20230322001136,2201,0.0487
2350,6,93,0,0.0026,0.0396,0.0,1.0,001440,2023,20240321001692,2350,0.0514
2281,1,83,0,0.0004,0.0364,0.0,1.0,001440,2024,20250320001292,2281,0.0471
5474,3,100,0,0.0005,0.0183,0.0,1.0,001450,2022,20230309000797,5474,0.0059
4680,2,92,0,0.0004,0.0197,0.0,1.0,001450,2023,20240314001515,4680,0.0064
4567,1,100,0,0.0002,0.0219,0.0,1.0,001450,2024,20250313001346,4567,0.0153
1294,0,78,0,0.0,0.0603,0.0,1.0,001460,2022,20230316001312,1293,0.0854
1117,0,78,0,0.0,0.0698,0.0,1.0,001460,2023,20240314001341,1117,0.0969
1430,0,77,0,0.0,0.0538,0.0,1.0,001460,2024,20250320001026,1429,0.077
3164,7,59,0,0.0022,0.0186,0.0,1.0,001470,2022,20230322001271,3164,0.0194
3048,4,56,0,0.0013,0.0184,0.0,1.0,001470,2023,20240408002608,3048,0.0198
2977,6,65,0,0.002,0.0218,0.0,1.0,001470,2024,20250407003073,2977,0.0263
2151,2,164,0,0.0009,0.0762,0.0,1.0,001500,2022,20230315000803,2151,0.103
1976,2,161,0,0.001,0.0815,0.0,1.0,001500,2023,20240313001172,1976,0.1059
1933,2,163,0,0.001,0.0843,0.0,1.0,001500,2024,20250319001001,1933,0.1093
3310,8,197,0,0.0024,0.0595,0.0,1.0,001510,2022,20230323001329,3310,0.0701
3176,5,211,0,0.0016,0.0664,0.0,1.0,001510,2023,20240315000894,3176,0.0762
3070,6,199,0,0.002,0.0648,0.0,1.0,001510,2024,20250319001113,3070,0.0752
3087,6,98,0,0.0019,0.0317,0.0,1.0,001520,2022,20230321001187,3087,0.0388
2998,6,92,0,0.002,0.0307,0.0,1.0,001520,2023,20240320001400,2998,0.037
3015,7,99,0,0.0023,0.0328,0.0,1.0,001520,2024,20250318000948,3015,0.038
1834,4,49,0,0.0022,0.0267,0.0,1.0,001530,2022,20230316001325,1834,0.0322
2015,4,45,0,0.002,0.0223,0.0,1.0,001530,2023,20240314001589,2015,0.0273
1741,2,44,0,0.0011,0.0253,0.0,1.0,001530,2024,20250320001320,1741,0.0329
1181,1,116,0,0.0008,0.0982,0.0,1.0,001560,2022,20230321000389,1181,0.1393
1432,3,111,0,0.0021,0.0775,0.0,1.0,001560,2023,20240321000824,1432,0.1162
1231,1,114,0,0.0008,0.0926,0.0,1.0,001560,2024,20250317000206,1231,0.1345
8559,18,48,0,0.0021,0.0056,0.0,1.0,001630,2022,20230314001191,8559,0.0
9684,22,72,0,0.0023,0.0074,0.0,1.0,001630,2023,20240320001873,9684,0.0
9743,21,106,0,0.0022,0.0109,0.0,1.0,001630,2024,20250318001235,9743,0.0057
4516,8,110,0,0.0018,0.0244,0.0,1.0,001680,2022,20230316001258,4516,0.0186
4946,8,129,0,0.0016,0.0261,0.0,1.0,001680,2023,20240314001698,4946,0.022
4248,7,105,0,0.0016,0.0247,0.0,1.0,001680,2024,20250319001095,4248,0.0253
2537,4,137,0,0.0016,0.054,0.0,1.0,001720,2022,20230615000542,2537,0.0673
2736,5,139,0,0.0018,0.0508,0.0,1.0,001720,2023,20240612000337,2736,0.0553
2898,4,137,0,0.0014,0.0473,0.0,1.0,001720,2024,20250612000448,2898,0.0518
6013,10,109,0,0.0017,0.0181,0.0,1.0,001740,2022,20230321001119,6013,0.0136
6406,13,136,0,0.002,0.0212,0.0,1.0,001740,2023,20240319000871,6406,0.0207
5853,16,155,0,0.0027,0.0265,0.0,1.0,001740,2024,20250318000975,5853,0.0322
5291,2,111,0,0.0004,0.021,0.0,1.0,001800,2022,20230315001148,5289,0.0071
5851,5,118,0,0.0009,0.0202,0.0,1.0,001800,2023,20240313000499,5847,0.0071
5647,3,138,0,0.0005,0.0244,0.0,1.0,001800,2024,20250318000980,5647,0.0171
7559,60,102,0,0.0079,0.0135,0.0,1.0,002030,2022,20230315001365,7559,0.0066
8435,62,98,0,0.0074,0.0116,0.0,1.0,002030,2023,20240313001757,8435,0.0056
8400,56,97,0,0.0067,0.0115,0.0,1.0,002030,2024,20250312000788,8400,0.0056
2411,7,79,0,0.0029,0.0328,0.0,1.0,002320,2022,20230315001412,2411,0.0286
2336,9,98,0,0.0039,0.042,0.0,1.0,002320,2023,20240312000974,2336,0.044
2338,9,86,0,0.0038,0.0368,0.0,1.0,002320,2024,20250317000904,2338,0.0344
3842,15,101,0,0.0039,0.0263,0.0,1.0,002350,2022,20230320000888,3842,0.0163
3641,15,116,0,0.0041,0.0319,0.0,1.0,002350,2023,20240318000903,3641,0.0324
3682,15,110,0,0.0041,0.0299,0.0,1.0,002350,2024,20250318001449,3682,0.0248
782,4,53,0,0.0051,0.0678,0.0,1.0,002600,2022,20230309000626,782,0.0967
860,4,50,0,0.0047,0.0581,0.0,1.0,002600,2023,20240314001089,860,0.079
859,5,50,0,0.0058,0.0582,0.0,1.0,002600,2024,20250312000526,859,0.0796
7977,210,140,0,0.0263,0.0176,0.0,1.0,002790,2022,20230309000832,7975,0.0196
5385,22,146,0,0.0041,0.0271,0.0,1.0,002790,2023,20240307000584,5383,0.0304
5084,15,121,0,0.003,0.0238,0.0,1.0,002790,2024,20250317000463,5084,0.0178
