stock_code,fiscal_year,section_chars_II,section_chars_IV,section_chars_VI,total_chars,rcept_no
002350,2022,17902,3058,2972,23936,20230320000888
002350,2023,16715,3072,3275,23066,20240318000903
002350,2024,16713,3214,3301,23232,20250318001449
002600,2022,3794,1399,1234,6431,20230309000626
002600,2023,3501,1115,1130,5750,20240314001089
002600,2024,3498,1082,1109,5693,20250312000526
002790,2022,39810,10534,3636,53984,20230309000832
002790,2023,22047,10174,4120,36345,20240307000584
002790,2024,19422,10589,3516,33531,20250317000463
003240,2022,11072,4889,1759,17724,20230323001281
003240,2023,11399,5129,1964,18496,20240329003575
003240,2024,10798,4488,1918,17208,20250320001386
003280,2022,258,10463,615,11340,20230320001057
003280,2023,241,9958,556,10759,20240320001803
003280,2024,241,10718,703,11666,20250317000787
003670,2022,20917,22371,3693,46985,20230317000751
003670,2023,20972,12917,3426,37319,20240326000383
003670,2024,16003,10456,3598,30061,20250314000603
003920,2022,6686,1940,1671,10301,20230323001233
003920,2023,6607,1861,1647,10119,20240321001747
003920,2024,6699,1712,1733,10148,20250320001030
004370,2022,20251,4074,2523,26852,20230316000448
004370,2023,18017,4004,2481,24506,20240314000698
004370,2024,16999,4321,3111,24435,20250312000711
004540,2022,5875,4324,1926,12129,20230316000673
004540,2023,5956,4340,1866,12166,20240321001282
004540,2024,10562,4223,2053,16842,20250320000849
005090,2022,17402,8996,2256,28658,20230309000859
005090,2023,12867,9728,2718,25317,20240313001769
005090,2024,12923,10650,2501,26078,20250312001090
005290,2022,12289,4746,5396,22435,20230316001000
005290,2023,12283,7190,5881,25358,20240314001382
005290,2024,12403,6126,6077,24610,20250319000732
005380,2022,45962,10055,6764,62785,20230315001030
005380,2023,45962,10055,6764,62785,20240314001531
005380,2024,39067,12981,7104,59156,20250312001148
005490,2022,81009,103362,5231,189606,20230309000896
005490,2023,79240,100545,4716,184505,20240322000986
005490,2024,74964,93634,5170,173772,20250312001016
005500,2022,8531,4936,1473,14944,20230316001264
005500,2023,7263,4757,1394,13418,20240314001307
005500,2024,6292,5024,1405,12725,20250313001200
005610,2022,12287,4680,2098,19069,20230316001219
005610,2023,12268,4329,3255,19856,20240321001513
005610,2024,12242,4425,2662,19333,20250318001175
005850,2022,12088,6100,2726,20918,20230321001134
005850,2023,11683,6732,1925,20344,20240318000589
005850,2024,12370,6207,1897,20478,20250318000826
005930,2022,24558,12260,5265,42087,20230307000542
005930,2023,25991,11984,5518,43497,20240312000736
005930,2024,26457,10875,5540,42876,20250311001085
005950,2022,14167,12888,2209,29268,20230320000747
005950,2023,14760,10839,2596,28199,20240321001863
005950,2024,14854,9803,2221,26882,20250320001454
006400,2022,13016,6880,9671,29571,20230313000726
006400,2023,12694,8424,10764,31886,20240312000853
006400,2024,13674,15577,9039,38294,20250311001275
007070,2022,42487,11923,5433,59847,20230315001215
007070,2023,39145,12598,4433,56180,20240313001562
007070,2024,33299,9492,4564,47359,20250312000991
010130,2022,25561,2452,3722,31739,20230309000731
010130,2023,30484,2571,4467,37526,20240328001400
010130,2024,32913,3262,6760,42939,20250320001542
010950,2022,20509,10297,4338,35148,20230320000502
010950,2023,20786,9662,4177,34629,20240320001242
010950,2024,21801,10389,4268,36462,20250319000503
011170,2022,25963,9387,2716,38070,20230321001511
011170,2023,29792,8579,2584,40959,20240401004380
011170,2024,31908,8777,2919,43608,20250317000991
011210,2022,22053,5224,3670,30951,20230314000727
011210,2023,24074,4627,3364,32069,20240320001675
011210,2024,24757,4681,3057,32499,20250311001283
014790,2022,14831,5027,1419,21281,20230315001407
014790,2023,14172,5311,1449,20936,20240318000780
014790,2024,15472,2843,1640,19959,20250317000836
018260,2022,18123,8428,2917,29472,20230307000606
018260,2023,18507,7512,3660,29683,20240329003204
018260,2024,18125,7854,3404,29387,20250311001129
024110,2022,10165,20801,4436,35406,20230315001098
024110,2023,11276,20558,4961,36799,20240430000630
024110,2024,8650,19246,4257,32157,20250318001325
030200,2022,82441,14842,5298,102585,20230323001449
030200,2023,83360,13935,6535,103834,20240320002050
030200,2024,72650,13085,3747,89486,20250321001834
035420,2022,37559,9413,3286,50262,20230314001049
035420,2023,39099,8849,3074,51026,20240318000844
035420,2024,32312,9404,3119,44839,20250318000645
035720,2022,29400,8045,4360,41809,20230320001096
035720,2023,37357,8861,5360,51582,20240418000375
035720,2024,34868,6639,5663,47174,20250318001297
035760,2022,24590,6206,2621,33421,20230320000724
035760,2023,27725,8181,2625,38535,20240318000857
035760,2024,29547,7734,2819,40104,20250319000884
036570,2022,10174,5629,2913,18720,20230321001334
036570,2023,12797,6073,2944,21818,20240320001965
036570,2024,14075,5645,2732,22456,20250318001264
042670,2022,20124,6203,6853,33184,20230317000838
042670,2023,18342,5072,6744,30162,20240315000865
042670,2024,16861,4624,7403,28892,20250317000883
