stock_code,fiscal_year,esg_year,company_name,industry,esg_grade,e_grade,s_grade,g_grade,universe,in_corp_code,in_collected_reports,in_sections_extracted,in_firm_year_documents,in_features_expF,in_merged_expF,status,sub_status,reason,source_pipeline,recovery_method,rcept_no,total_tokens,esg_signal_count,g_signal_count,esg_signal_ratio,g_signal_ratio,esg_tfidf_concentration,esg_g_relative,bp_contamination_rate,kcgs_grade,kcgs_grade_7,kcgs_grade_4
000240,2021,2022,한국앤컴퍼니,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220407001647.0,1649.0,11.0,231.0,0.0067,0.1401,0.159,1.0,0.0,A,5.0,3.0
000270,2021,2022,기아,,,,,,user_native_extension,True,True,True,False,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,,,,,,,,,,,,
000660,2021,2022,SK하이닉스,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220322000590.0,6535.0,128.0,386.0,0.0196,0.0591,0.1047,1.0,0.0,A,5.0,3.0
000720,2021,2022,현대건설,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220325001068.0,5028.0,57.0,330.0,0.0113,0.0656,0.1172,1.0,0.0,A,5.0,3.0
000810,2021,2022,삼성화재해상보험,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220310001159.0,1852.0,6.0,230.0,0.0032,0.1242,0.1303,1.0,0.0,A,5.0,3.0
000880,2021,2022,한화,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220324000140.0,17585.0,401.0,392.0,0.0228,0.0223,0.043,1.0,0.0,A,5.0,3.0
001040,2021,2022,CJ,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220321001352.0,7767.0,48.0,333.0,0.0062,0.0429,0.0733,1.0,0.0,A,5.0,3.0
001120,2021,2022,LX인터내셔널,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220316000964.0,1951.0,10.0,239.0,0.0051,0.1225,0.1339,1.0,0.0,A,5.0,3.0
002380,2021,2022,케이씨씨,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220317001213.0,3561.0,32.0,203.0,0.009,0.057,0.0839,1.0,0.0,B+,4.0,2.0
002380,2022,2023,케이씨씨,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20230316000762.0,3627.0,26.0,179.0,0.0072,0.0494,0.0704,1.0,0.0,A,5.0,3.0
